Date,PC1,PC2,PC3,PC4,PC5
2015-01-05,-1.651781805544429,0.8648225095724633,0.48869380487061437,-0.17228014161874458,-0.8782234692284244
2015-01-06,-1.9626381954619476,1.01448366277558,0.7631220850553354,-0.4340813892458902,-0.41123354155783787
2015-01-07,1.6182161616482427,0.8669287233652817,-0.5786471470084429,0.3584504454322252,1.7603299097419478
2015-01-08,-0.5655683229383962,0.6196387429653122,0.504566810210062,-1.0679005391005802,-0.8989856388171368
2015-01-09,-1.061040749578541,0.43360499417197046,0.28641363098600003,0.20535930331913868,0.6768057642784583
2015-01-12,-0.2629220846187708,-0.07231554854589729,0.23812502068098274,-0.15511982800372326,0.12637291066139167
2015-01-13,-1.164267444862858,0.574211640786636,1.0243741509902022,-0.6269380707505072,-0.14369922606816007
2015-01-14,-2.0811005908777305,0.5565562286510145,0.7628447021190512,-0.37043053811080795,0.7262485302354672
2015-01-15,-0.4425402394256935,0.08462258557369559,0.07207198781267513,0.1311115836477985,0.15289795352914
2015-01-16,-0.27383148263525026,1.0200682366187126,-0.01383085286287787,0.4603232366667881,0.7492526656414861
2015-01-20,-0.13884766820733654,0.744025071082358,0.41236892833420535,0.07359826416110513,0.3691610864793858
2015-01-21,-1.1604212963162712,0.9704956981924939,0.5741554660915017,0.5350580028177777,1.679314363234492
2015-01-22,1.3623365351223806,1.013525552731306,-0.22790834805314608,2.114088927389117,1.4277759490684767
2015-01-23,0.9238434536456215,-0.4135786115581302,0.2721087333211928,1.2562933239020044,-1.0874437370030474
2015-01-26,0.7672532659835645,0.5213594594355454,0.03854411584778639,-0.7681806917213364,-0.13458182839243546
2015-01-27,-0.006422680806502166,-0.13483279780590546,-0.05668674087690054,0.07102507022564086,-0.06734185882943368
2015-01-28,0.09258101673465476,-0.193512580914229,-0.022143077134757043,0.09847149756575851,-0.3015705885367833
2015-01-29,0.48812917772187014,-0.5371276702589528,0.7096787312275541,0.9684860073752739,-1.138010766841156
2015-01-30,0.5558409196802345,-0.4238849074848681,-1.492819758426522,0.11629319921199877,-0.350887215822037
2015-02-02,-1.4852090892637742,-0.7377218538997699,0.18439829603114444,-0.23425656607177786,1.7022160138573448
2015-02-03,1.9782582186642141,-0.10363362461101219,-0.442467181737299,-0.6625188789431194,-0.7801367093815179
2015-02-04,0.6177757399985666,-0.4269605677466871,-0.4984539068216216,0.0917245631105391,0.5359547122595354
2015-02-05,0.5072948677372993,-0.28243488860086796,-0.4439879038398265,0.07111083508621896,-0.7925763321163192
2015-02-06,-1.8622287166118399,0.6852457166890991,-0.2295080758679408,-0.36490111064283703,0.10049813473334013
2015-02-09,-0.4072956648625734,-0.012868721709034974,-0.7152963470602884,-0.08850807630044287,-0.07224051546175095
2015-02-10,0.3100960543363558,-0.9156623117871875,-0.34648158473160867,0.009733580216189565,0.6039287756773217
2015-02-11,-0.5621307183002884,0.2456645850058602,0.18042344255313986,-0.3167739251009145,-0.06460959835819266
2015-02-12,0.6385970704222912,-0.8761939932966308,-0.3027754015999093,0.5216423921215532,-0.6659661254527038
2015-02-13,0.804726054437065,-0.8520123577106038,-0.5502997857233209,1.2404745496560632,-1.0541088157120149
2015-02-17,-1.2211755773090116,1.2643459434947322,0.6159563441325993,-0.6864389608654557,1.4628447563037883
2015-02-18,-1.8414371641146339,0.2031952094341226,1.2138310405023274,0.9538715426745761,2.602794490151043
2015-02-19,-1.4240060543446749,0.45857899953189984,-0.20468027096206048,-0.2359423214129891,0.8266940017286779
2015-02-20,-1.9012734772111068,1.1138996225638136,0.7858926787828406,-0.7903603022892527,-0.7212592962682743
2015-02-23,-1.677570308972073,0.49994541759701433,0.5815799732718834,0.12930477450159003,0.9369954490154664
2015-02-24,0.0938129630209416,-0.5648461341472025,-1.068084047801805,0.23602017355501548,0.3333547207613533
2015-02-25,-0.9896057177866628,0.13656931840068545,0.7154498131093916,-0.08062945988172424,0.10591163159025893
2015-02-26,-0.13590287185541253,0.35966230905492236,0.09473297444671797,-0.12476951624895628,-0.30939881875031044
2015-02-27,0.1870994523706112,-0.145079961400711,-0.08758899895658545,0.014137034450077277,-0.12155196161179387
2015-03-02,0.07003234269972133,-0.0005557160930469977,0.08732708493173873,-0.18362843611355367,0.0780962584582466
2015-03-03,-0.8615085614525034,-0.08417426599198068,0.675460453850151,0.4538402123802411,0.5557243016288764
2015-03-04,-0.0009236998496850145,-1.7403759533078456,0.9728386893273437,-2.182984526756657,0.690366522520384
2015-03-05,-0.10771801691389357,0.05124609385140855,0.10542893658192334,-0.10883342727356424,-0.11029579282837523
2015-03-06,0.38086811856608566,2.266086918605136,-0.8589811250598437,1.130317353258535,-1.003632548154244
2015-03-09,-2.9007341974442102,1.265562378733952,0.9180066066971153,-0.44548476582402396,0.45666314261188945
2015-03-10,-0.6027432208389477,-0.4804048720241553,-0.28781766706133805,-0.906252806825906,0.3157700278559285
2015-03-11,-0.5532060073241765,1.7165262192320705,-0.8489891720814935,1.0650105226662214,0.39211591168800336
2015-03-12,0.49215007388795823,0.7608509608860607,-0.13030073399134057,0.1088269593880745,0.569649517341451
2015-03-13,1.5439543746487714,2.6929811228312337,-0.6771323460824747,1.6726670697115906,-0.675155807846376
2015-03-16,-0.8023745243198688,0.642092189228405,0.4793421237154231,-0.7015738341869433,-0.7730959660576292
2015-03-17,1.3278179945747999,-0.48672736413789547,-0.08903084264933508,-0.6725531194195137,-0.749249788182479
2015-03-18,-0.030620399996409264,0.25336400668902165,0.19406996797408216,-0.4695966281059717,-1.212083891328919
2015-03-19,-0.41496965142248066,-0.9370422290998295,0.21342964321523464,-0.7546428499592868,0.1346131538288507
2015-03-20,1.2538975555859058,-0.6231204608854647,-0.4188323138551993,0.20479485657078542,-0.5239426562478245
2015-03-23,-1.781583669727902,0.2786450149200993,-0.6367296146560109,0.479287128845956,0.2689865470725073
2015-03-24,0.194960107096733,-0.4045041198757398,-0.052125433865068724,0.055031222752121,-0.3662726859856461
2015-03-25,-0.1913143587690572,-0.1694642339083813,-0.5840260059828506,-0.011718525319602602,-0.2570459258555949
2015-03-26,-0.21468701462377845,0.0222535477485772,-0.12538674399403882,-0.05076794491918998,0.007315427946035047
2015-03-27,-0.7079432313560863,-1.0573091416246847,-1.2654451454381772,-1.4099955489287304,-0.05018998661318544
2015-03-30,0.3560413266330875,-0.4950537763109993,0.6722339822202205,0.38758248439932474,-1.1753201848475396
2015-03-31,2.0163153554612356,0.4421069790613973,-0.4739255168428139,1.1344913749800707,-0.9446795938657219
2015-04-01,1.8425553024768644,-0.393261362691141,-0.34315430142338355,-0.1554668404399161,0.1645449431986945
2015-04-02,-0.08378863429116742,-0.02529375002576565,-0.003602102543369362,-0.011589532450395675,-0.008143028525351441
2015-04-06,0.23967471149969605,-0.9694099574535419,0.29042519327123306,-0.8489003188745275,0.4333467764610306
2015-04-07,-0.305768129950027,-0.44297943947092455,0.06652299653623456,0.0727050261560665,-0.08966389339320459
2015-04-08,-1.3992680959325572,0.3798271993322594,1.0231347740569923,-0.5779783585425797,-0.48044324723661697
2015-04-09,-0.43588512902800775,-1.0387562612752501,0.25106228637155614,-0.8190138404476648,0.15716530794821212
2015-04-10,0.4278784688431882,0.12782973608465548,-0.24843561620884863,0.4357844647910948,0.3278189795068439
