,PC1
2020-02-03,-1.1047250623514975
2020-02-10,-1.1226286877902907
2020-02-17,-0.2948141587696679
2020-02-24,-1.5163729546050237
2020-03-02,-2.1784656262071116
2020-03-09,-0.9569241772210006
2020-03-16,-0.6709846333028222
2020-03-23,5.574868467278175
2020-03-30,5.754580232263695
2020-04-06,5.554132103623355
2020-04-13,-1.5398922463899443
2020-04-20,-1.4567233979807384
2020-04-27,0.02154192898508994
2020-05-04,-1.9844041443398488
2020-05-11,-0.743627495393681
2020-05-18,-1.4250442190239003
2020-05-25,-2.0439099728668055
2020-06-01,-1.3384774133700699
2020-06-08,-1.2138282914988257
2020-06-15,-1.6513467235639
2020-06-22,-1.2679682823464966
2020-06-29,6.496413601537849
2020-07-06,-0.15657612913876134
2020-07-13,-1.1774438519034138
2020-07-20,-1.3609561652486772
2020-07-27,-0.675698458064849
2020-08-03,-0.8152003784481158
2020-08-10,-0.6691276375196893
2020-08-17,-0.0060721672552736155
2020-08-24,-0.4523868706658101
2020-08-31,-1.1317047725292253
2020-09-07,-1.1277495661224213
2020-09-14,-0.5649651233064514
2020-09-21,-0.5788404670245189
2020-09-28,-0.5374178626357746
2020-10-05,-0.8198057712026516
2020-10-12,-1.4707759112842997
2020-10-19,-0.7517460886029969
2020-10-26,-0.6685247795342795
2020-11-02,-0.6572259221419334
2020-11-09,-1.4065391071491422
2020-11-16,-1.1777616023662871
2020-11-23,-1.4519057701724118
2020-11-30,-0.3483442388720108
2020-12-07,9.08912541986749
2020-12-14,7.755407081856962
2020-12-21,9.043467148075983
2020-12-28,-0.6973648326511808
2021-01-04,-1.419345181940147
2021-01-11,0.042225610215278424
2021-01-18,-0.7667543116907468
2021-01-25,-0.9184184027000611
2021-02-01,-0.8829819179717868
2021-02-08,-0.7192094703143623
2021-02-15,-0.8480705390996316
2021-02-22,-1.0107614778070815
2021-03-01,-1.3912218758117876
2021-03-08,-1.0334370610624337
2021-03-15,-1.7003191395152126
2021-03-22,-0.5645123690731616
2021-03-29,5.416540621349343
2021-04-05,6.217029689029734
2021-04-12,6.224954698548658
2021-04-19,-0.15998705185559242
2021-04-26,-0.5930971967162234
2021-05-03,-1.549644528053379
2021-05-10,-1.120821672891747
2021-05-17,-0.6543839712433763
2021-05-24,-1.47485275378222
2021-05-31,0.04443826782899514
2021-06-07,-1.3254714401010412
2021-06-14,-1.1195764337093566
2021-06-21,-0.5547206653407328
2021-06-28,-0.6228228863745611
2021-07-05,-1.2296283033337152
2021-07-12,-0.810930841158178
2021-07-19,-1.0494695701118835
2021-07-26,-1.6369084814826045
2021-08-02,-1.748531348442527
2021-08-09,-1.1854329169785032
2021-08-16,-1.1959170620267403
2021-08-23,-1.2123095531618056
2021-08-30,-1.6759662085719
2021-09-06,-0.7100278561620192
2021-09-13,-0.20038213833519286
2021-09-20,-1.1277505234191354
2021-09-27,-1.238652047977929
2021-10-04,-0.8010692284791108
2021-10-11,-1.211298926398765
2021-10-18,-0.5835901058460983
2021-10-25,-0.6629085634315388
2021-11-01,-1.3539915854809705
2021-11-08,-1.5731856366884998
2021-11-15,-1.5328195524416017
2021-11-22,-1.7460060666468666
2021-11-29,-0.8048644668762539
2021-12-06,-1.140883436169269
2021-12-13,8.581033710616477
2021-12-20,8.478594960251787
2021-12-27,8.23038960629116
2022-01-03,-1.9139273495500657
2022-01-10,-0.9928246474024833
2022-01-17,-1.2880292346047848
2022-01-24,-0.9975410866110381
2022-01-31,-1.316413160385883
2022-02-07,-0.741394310187402
2022-02-14,-1.0761376044908317
2022-02-21,-1.4605357999627233
2022-02-28,-1.7457425274317133
2022-03-07,-1.2288039362674872
2022-03-14,-1.6006787949205996
2022-03-21,-2.0942133295317427
2022-03-28,6.5247961102361645
2022-04-04,5.890109619630954
2022-04-11,6.522969477018091
2022-04-18,-1.0501753241755247
2022-04-25,-1.4783180000722096
2022-05-02,-1.5069442391441306
2022-05-09,-1.3260892329506797
2022-05-16,-1.382197505526022
2022-05-23,-1.2920762880745935
2022-05-30,3.278085884411365
2022-06-06,-1.0552250201706252
2022-06-13,-0.05003288668718019
2022-06-20,-0.9128603986692437
2022-06-27,-1.8056802481205003
2022-07-04,-0.1105666399148118
2022-07-11,-0.4357169722306353
2022-07-18,-1.4345613041304701
2022-07-25,-1.1829950299624532
2022-08-01,-1.41581159497584
2022-08-08,-0.8665412355446555
2022-08-15,-0.9129764411102369
2022-08-22,-0.6317339880308781
2022-08-29,-0.8375307991289859
2022-09-05,-0.2162438769491732
2022-09-12,-1.0777556162725597
2022-09-19,-0.9075013329464461
2022-09-26,-0.7911279495958019
2022-10-03,-1.8648763763282032
2022-10-10,-1.272222969452376
2022-10-17,-0.9902617309924248
2022-10-24,-1.3780432126148545
2022-10-31,-1.8300011238472038
2022-11-07,-1.6652548865815746
2022-11-14,-0.2684213655463943
2022-11-21,-0.8654813954799265
2022-11-28,-1.6397361721162855
2022-12-05,-1.6882022665220136
2022-12-12,8.176700198690316
2022-12-19,8.589047135184387
2022-12-26,8.323770010549921
2023-01-02,-1.1645774937390776
2023-01-09,0.20474356641105412
