,demand,viterbi,prob_1,prob_2,smooth_1,smooth_2,rop_hmm,rop_global,stockout_global,stockout_hmm,excess_global,excess_hmm
2010-12-06,0.0,1,1.0,5.027778416720872e-37,1.0,5.368375662657106e-31,470.37079373873803,854.3969135247587,False,False,,
2010-12-13,172.0,1,0.9999792326531574,2.0767346842666316e-05,0.9999982081014722,1.7918985278437962e-06,470.3861313254557,854.3969135247587,False,False,682.3969135247587,298.37079373873803
2010-12-20,216.0,1,0.999831769478325,0.00016823052167506288,0.9999845716502102,1.5428349789914917e-05,470.4950392783488,854.3969135247587,False,False,638.3969135247587,254.38613132545572
2010-12-27,264.0,1,0.9980383127639877,0.0019616872360123747,0.9998314153966915,0.00016858460330858307,471.8195848781761,854.3969135247587,False,False,590.3969135247587,206.49503927834883
2011-01-03,167.0,1,0.9999823134063707,1.768659362937179e-05,0.9999984826608641,1.5173391359795752e-06,470.3838560555369,854.3969135247587,False,False,687.3969135247587,304.8195848781761
2011-01-10,167.0,1,0.9999834586333635,1.6541366636489675e-05,0.9999984653232011,1.5346767989530074e-06,470.3830102557124,854.3969135247587,False,False,687.3969135247587,303.3838560555369
2011-01-17,267.0,1,0.9977127868824774,0.002287213117522658,0.9998019155568412,0.00019808444315892447,472.0599998659132,854.3969135247587,False,False,587.3969135247587,203.3830102557124
2011-01-24,222.0,1,0.9997553757955139,0.0002446242044861794,0.9999790157441892,2.0984255810768453e-05,470.55145932775014,854.3969135247587,False,False,632.3969135247587,250.0599998659132
2011-01-31,154.0,1,0.9999907020482923,9.297951707636883e-06,0.999999199284027,8.007159729613259e-07,470.3776606795029,854.3969135247587,False,False,700.3969135247587,316.55145932775014
2011-02-07,210.0,1,0.9998746712885203,0.00012532871147963976,0.9999892501276874,1.0749872312597814e-05,470.46335443005285,854.3969135247587,False,False,644.3969135247587,260.3776606795029
2011-02-14,155.0,1,0.9999903201850505,9.679814949563395e-06,0.9999991698264861,8.301735139465765e-07,470.3779427020758,854.3969135247587,False,False,699.3969135247587,315.46335443005285
2011-02-21,154.0,1,0.9999907791037906,9.220896209370406e-06,0.9999992078897162,7.92110283783702e-07,470.3776037706741,854.3969135247587,False,False,700.3969135247587,316.3779427020758
2011-02-28,193.0,1,0.9999446825190209,5.5317480979139254e-05,0.9999952571525197,4.742847480280223e-06,470.4116480986112,854.3969135247587,False,False,661.3969135247587,277.3776037706741
2011-03-07,0.0,1,0.9999999752457525,2.475424746598674e-08,0.9999999978776832,2.122316731520184e-09,470.3708120208238,854.3969135247587,False,False,854.3969135247587,470.4116480986112
2011-03-14,0.0,1,0.9999999752943489,2.470565108967338e-08,0.9999999978812949,2.1187051945867164e-09,470.3708119849333,854.3969135247587,False,False,854.3969135247587,470.3708120208238
2011-03-21,149.0,1,0.9999926112214422,7.388778557673215e-06,0.9999993664658752,6.335341249214022e-07,470.3762506722945,854.3969135247587,False,False,705.3969135247587,321.3708119849333
2011-03-28,124.0,1,0.9999974819568648,2.518043135228661e-06,0.9999997836022432,2.163977569278378e-07,470.37265342284877,854.3969135247587,False,False,730.3969135247587,346.3762506722945
2011-04-04,197.0,1,0.9999330950356565,6.690496434343033e-05,0.9999942629402035,5.73705979640705e-06,470.4202059578449,854.3969135247587,False,False,657.3969135247587,273.37265342284877
2011-04-11,130.0,1,0.999996746950457,3.2530495429640293e-06,0.9999997210897072,2.7891029274049934e-07,470.3731962569721,854.3969135247587,False,False,724.3969135247587,340.4202059578449
2011-04-18,102.0,1,0.9999989839629237,1.0160370763212679e-06,0.9999999077209679,9.2279032084267e-08,470.37154412620373,854.3969135247587,False,False,752.3969135247587,368.3731962569721
2011-04-25,261.0,1,0.998335316957922,0.0016646830420779044,0.9998569744375222,0.00014302556247775455,471.6002343942411,854.3969135247587,False,False,593.3969135247587,209.37154412620373
2011-05-02,168.0,1,0.9999816739395223,1.8326060477630767e-05,0.9999984267768753,1.5732231246325696e-06,470.3843283295501,854.3969135247587,False,False,686.3969135247587,303.6002343942411
2011-05-09,184.0,1,0.9999637842693638,3.621573063608937e-05,0.9999968948545558,3.1051454442603976e-06,470.39754062717697,854.3969135247587,False,False,670.3969135247587,286.3843283295501
2011-05-16,102.0,1,0.9999989827716405,1.0172283596239971e-06,0.9999999127641431,8.723585687712737e-08,470.37154500601815,854.3969135247587,False,False,752.3969135247587,368.39754062717697
2011-05-23,150.0,1,0.9999922779807662,7.722019233858936e-06,0.9999993370160181,6.629839819580499e-07,470.3764967849929,854.3969135247587,False,False,704.3969135247587,320.37154500601815
2011-05-30,186.0,1,0.9999602432994783,3.975670052159917e-05,0.9999965911350697,3.40886493028257e-06,470.4001557870765,854.3969135247587,False,False,668.3969135247587,284.3764967849929
2011-06-06,117.0,1,0.9999981189438621,1.8810561379114931e-06,0.9999998382630415,1.6173695848107225e-07,470.372182980313,854.3969135247587,False,False,737.3969135247587,353.4001557870765
2011-06-13,201.0,1,0.9999189625089063,8.103749109373073e-05,0.9999930501249927,6.94987500729342e-06,470.4306434420463,854.3969135247587,False,False,653.3969135247587,269.372182980313
2011-06-20,147.0,1,0.9999932136261624,6.7863738375255185e-06,0.9999994178714298,5.821285702762098e-07,470.375805770271,854.3969135247587,False,False,707.3969135247587,323.4306434420463
2011-06-27,164.0,1,0.9999855669694256,1.4433030574355173e-05,0.9999987622242591,1.2377757409340543e-06,470.3814531580519,854.3969135247587,False,False,690.3969135247587,306.375805770271
2011-07-04,147.0,1,0.9999932296602339,6.770339766183128e-06,0.9999993134955648,6.865044352389187e-07,470.37579392841366,854.3969135247587,False,False,707.3969135247587,323.3814531580519
2011-07-11,282.0,1,0.9948920283117755,0.005107971688224636,0.9995595700438487,0.0004404299561513939,474.1432524602636,854.3969135247587,False,False,572.3969135247587,188.37579392841366
2011-07-18,179.0,1,0.9999660897365252,3.391026347479759e-05,0.9999970923926922,2.907607307823772e-06,470.3958379396465,854.3969135247587,False,False,675.3969135247587,295.1432524602636
2011-07-25,122.0,1,0.9999976827525319,2.317247468110428e-06,0.9999997994745855,2.005254145364476e-07,470.3725051265363,854.3969135247587,False,False,732.3969135247587,348.3958379396465
2011-08-01,225.0,1,0.9997373382498848,0.00026266175011526236,0.9999774742356953,2.2525764304675984e-05,470.56478083782827,854.3969135247587,False,False,629.3969135247587,245.37250512653628
2011-08-08,113.0,1,0.9999983934074901,1.6065925098059968e-06,0.9999998620126554,1.379873445899211e-07,470.3719802770149,854.3969135247587,False,False,741.3969135247587,357.56478083782827
2011-08-15,191.0,1,0.9999496966545083,5.030334549177126e-05,0.9999956870320627,4.312967937326036e-06,470.4079449419955,854.3969135247587,False,False,663.3969135247587,279.3719802770149
2011-08-22,72.0,1,0.9999996862948576,3.137051423669315e-07,0.999999972609304,2.7390696087260414e-08,470.37102542359696,854.3969135247587,False,False,782.3969135247587,398.4079449419955
2011-08-29,107.0,1,0.9999987554910079,1.2445089921507294e-06,0.9999556239785102,4.437602148972447e-05,470.37171286262674,854.3969135247587,False,False,747.3969135247587,363.37102542359696
2011-09-05,542.0,2,1.0298758491023789e-05,0.999989701241509,2.88818455256302e-07,0.9999997111815447,1208.9065766563997,854.3969135247587,False,True,312.3969135247587,0.0
2011-09-12,601.0,2,2.6637198784018086e-10,0.999999999733628,7.470065152599114e-12,0.99999999999253,1208.914182539671,854.3969135247587,False,False,253.3969135247587,607.9065766563997
2011-09-19,539.0,2,3.0956224257703065e-08,0.9999999690437756,8.681320801910402e-10,0.999999999131868,1208.9141598738834,854.3969135247587,False,False,315.3969135247587,669.914182539671
2011-09-26,507.0,2,3.2065577515845666e-07,0.9999996793442247,8.992547461894906e-09,0.9999999910074526,1208.9139459181952,854.3969135247587,False,False,347.3969135247587,701.9141598738834
2011-10-03,487.0,2,1.3276267244294465e-06,0.9999986723732756,3.999918149195465e-08,0.9999999600008185,1208.913202226458,854.3969135247587,False,False,367.3969135247587,721.9139459181952
2011-10-10,357.0,2,0.006346450784647653,0.9936535492153524,0.0001791474291736494,0.9998208525708263,1204.2270534657978,854.3969135247587,False,False,497.3969135247587,851.913202226458
2011-10-17,441.0,2,3.3283044962384964e-05,0.9999667169550376,9.334624612968584e-07,0.9999990665375387,1208.8896017635757,854.3969135247587,False,False,413.3969135247587,763.2270534657978
2011-10-24,469.0,2,4.645687136694867e-06,0.9999953543128633,1.3028316866668047e-07,0.9999998697168313,1208.9107516948761,854.3969135247587,False,False,385.3969135247587,739.8896017635757
2011-10-31,636.0,2,1.5935376753375663e-11,0.9999999999840647,4.4688692931027345e-13,0.999999999999553,1208.9141827246294,854.3969135247587,False,False,218.3969135247587,572.9107516948761
2011-11-07,558.0,2,7.440361930255034e-09,0.9999999925596381,3.050471959964553e-10,0.9999999996949529,1208.9141772413684,854.3969135247587,False,False,296.3969135247587,650.9141827246294
2011-11-14,326.0,2,0.03822480566713875,0.9617751943328613,0.0011133756376918995,0.9988866243623081,1180.6835052152128,854.3969135247587,False,False,528.3969135247587,882.9141772413684
2011-11-21,556.0,2,1.2655304124278691e-08,0.9999999873446959,1.476101817918157e-07,0.9999998523898183,1208.9141733899069,854.3969135247587,False,False,298.3969135247587,624.6835052152128
2011-11-28,0.0,1,0.9999897244644357,1.027553556426392e-05,0.99998972424917,1.0275750830124224e-05,470.3783826675974,854.3969135247587,False,False,854.3969135247587,1208.9141733899069
