date,sigma_forecast
2023-10-03,0.24802049675986293
2023-10-04,0.24864209969473533
2023-10-05,0.2492620891072408
2023-10-06,0.2498804770139959
2023-10-09,0.2504972752820873
2023-10-10,0.2511124956316655
2023-10-11,0.2517261496384829
2023-10-12,0.2523382487363774
2023-10-13,0.25294880421969634
2023-10-16,0.25355782724567094
2023-10-17,0.2541653288367409
2023-10-18,0.2547713198828236
2023-10-19,0.25537581114353614
2023-10-20,0.25597881325037336
2023-10-23,0.2565803367088337
2023-10-24,0.2571803919005049
2023-10-25,0.2577789890851
2023-10-26,0.2583761384024558
2023-10-27,0.25897184987448835
2023-10-30,0.2595661334071029
2023-10-31,0.26015899879206944
2023-11-01,0.26075045570886113
2023-11-02,0.2613405137264434
2023-11-03,0.2619291823050448
2023-11-06,0.262516470797872
2023-11-07,0.2631023884528063
2023-11-08,0.26368694441405294
2023-11-09,0.26427014772377005
2023-11-10,0.26485200732365194
2023-11-13,0.2654325320564908
