Date,return,price
2010-01-05,0.0,0.8825111389160156
2010-01-06,0.0,0.8825111389160156
2010-01-07,0.0,0.8825111389160156
2010-01-08,0.0,0.8825111389160156
2010-01-11,0.0,0.8825111389160156
2010-01-12,0.0,0.8825111389160156
2010-01-13,0.0,0.8825111389160156
2010-01-14,0.0,0.8825111389160156
2010-01-15,0.0,0.8825111389160156
2010-01-19,0.0,0.8825111389160156
2010-01-20,0.0,0.8825111389160156
2010-01-21,0.0,0.8825111389160156
2010-01-22,0.0,0.8825111389160156
2010-01-25,0.0,0.8825111389160156
2010-01-26,0.0,0.8825111389160156
2010-01-27,0.0,0.8825111389160156
2010-01-28,0.0,0.8825111389160156
2010-01-29,0.0,0.8825111389160156
2010-02-01,0.0,0.8825111389160156
2010-02-02,0.0,0.8825111389160156
2010-02-03,0.0,0.8825111389160156
2010-02-04,0.0,0.8825111389160156
2010-02-05,0.0,0.8825111389160156
2010-02-08,0.0,0.8825111389160156
2010-02-09,0.0,0.8825111389160156
2010-02-10,0.0,0.8825111389160156
2010-02-11,0.0,0.8825111389160156
2010-02-12,0.0,0.8825111389160156
2010-02-16,0.0,0.8825111389160156
2010-02-17,0.0,0.8825111389160156
2010-02-18,0.0,0.8825111389160156
2010-02-19,0.0,0.8825111389160156
2010-02-22,0.6687116373814002,1.4726566076278687
2010-02-23,0.018382424663895947,1.4997276067733765
2010-02-24,0.0,1.4997276067733765
2010-02-25,-0.025270600582943947,1.461828589439392
2010-02-26,0.011111005098629612,1.4780709743499756
2010-03-01,0.007325857543835523,1.4888991117477417
2010-03-02,0.007272819857433888,1.4997276067733765
2010-03-03,-0.0036101539295299023,1.494313359260559
2010-03-04,0.0,1.494313359260559
2010-03-05,0.014492857677921522,1.515970230102539
2010-03-08,0.0035713948704398923,1.521384358406067
2010-03-09,0.003558763755458827,1.5267986059188843
2010-03-10,0.007092131578505523,1.53762686252594
2010-03-11,0.007042032402249321,1.5484548807144165
2010-03-12,0.0,1.5484548807144165
2010-03-15,0.0034966254358079762,1.5538692474365234
2010-03-16,0.010453018074692455,1.570111870765686
2010-03-17,0.017241370147094592,1.5971827507019043
2010-03-18,0.023728965363849053,1.6350822448730469
2010-03-19,0.009933680682738144,1.6513246297836304
2010-03-22,0.0,1.6513246297836304
2010-03-23,0.0032788021352387897,1.6567389965057373
2010-03-24,0.0,1.6567389965057373
2010-03-25,0.02941206098778415,1.7054671049118042
2010-03-26,0.031745721086821055,1.7596083879470825
2010-03-29,0.0,1.7596083879470825
2010-03-30,0.0,1.7596083879470825
2010-03-31,0.015384333971403041,1.7866787910461426
2010-04-01,0.0,1.7866787910461426
2010-04-05,0.0,1.7866787910461426
2010-04-06,0.015151709249448198,1.8137500286102295
2010-04-07,-0.01492556148149593,1.7866787910461426
2010-04-08,0.0,1.7866787910461426
2010-04-09,0.015151709249448198,1.8137500286102295
2010-04-12,0.029850662885796186,1.8678916692733765
2010-04-13,-0.014492810043977844,1.8408206701278687
2010-04-14,0.011764920729108619,1.8624777793884277
2010-04-15,0.0,1.8624777793884277
2010-04-16,-0.011628116856068238,1.8408206701278687
2010-04-19,0.005882622261489168,1.851649522781372
2010-04-20,0.036451083200785606,1.9191441535949707
2010-04-21,0.014705991969164778,1.9473670721054077
2010-04-22,0.0,1.9473670721054077
2010-04-23,0.01449286008514239,1.9755899906158447
2010-04-26,0.0057143029546022905,1.9868791103363037
2010-04-27,0.0,1.9868791103363037
2010-04-28,-0.019886483291984502,1.9473670721054077
2010-04-29,0.0,1.9473670721054077
2010-04-30,0.008695740537334906,1.9643008708953857
2010-05-03,-0.008620776501646166,1.9473670721054077
2010-05-04,-0.03478253363997463,1.8796327114105225
2010-05-05,0.0,1.8796327114105225
2010-05-06,0.0,1.8796327114105225
2010-05-07,-0.009009099856147174,1.8626989126205444
2010-05-10,0.015151690661600714,1.890921950340271
2010-05-11,0.0029850204287513726,1.896566390991211
2010-05-12,0.0,1.896566390991211
2010-05-13,0.002976136600201018,1.9022108316421509
2010-05-14,-0.005934610987434197,1.890921950340271
2010-05-17,-0.014925543444375244,1.8626989126205444
2010-05-18,0.009091001597329784,1.8796327114105225
2010-05-19,-0.03903915788309398,1.806253433227539
2010-05-20,-0.031249835004757198,1.7498083114624023
2010-05-21,0.019354760473444976,1.7836754322052002
2010-05-24,0.0063290665483981545,1.7949644327163696
2010-05-25,0.0,1.7949644327163696
2010-05-26,0.03773583401965808,1.8626989126205444
2010-05-27,0.0,1.8626989126205444
2010-05-28,0.0,1.8626989126205444
2010-06-01,0.0,1.8626989126205444
2010-06-02,0.0,1.8626989126205444
2010-06-03,0.0,1.8626989126205444
2010-06-04,0.0,1.8626989126205444
2010-06-07,0.0,1.8626989126205444
2010-06-08,0.0,1.8626989126205444
2010-06-09,0.0,1.8626989126205444
2010-06-10,0.015151690661600714,1.890921950340271
2010-06-11,0.0,1.890921950340271
2010-06-14,0.0,1.890921950340271
2010-06-15,0.03283547688804633,1.9530112743377686
2010-06-16,0.02023146367287265,1.9925235509872437
2010-06-17,0.019830148663145586,2.0320355892181396
2010-06-18,0.00833335777706723,2.048969268798828
2010-06-21,0.005509541540609675,2.060258150100708
2010-06-22,0.0,2.060258150100708
2010-06-23,0.0,2.060258150100708
2010-06-24,-0.04109589833716931,1.9755899906158447
2010-06-25,0.0,1.9755899906158447
2010-06-28,0.0,1.9755899906158447
2010-06-29,0.0,1.9755899906158447
2010-06-30,-0.02571430295460242,1.9247890710830688
2010-07-01,-0.005865120438421134,1.9134999513626099
2010-07-02,0.017699044475376624,1.9473670721054077
2010-07-06,0.005797119547807483,1.9586561918258667
2010-07-07,0.0028819141884504074,1.9643008708953857
2010-07-08,0.0028733898742243635,1.9699450731277466
2010-07-09,0.0,1.9699450731277466
2010-07-12,0.0,1.9699450731277466
2010-07-13,0.008596197650156068,1.9868791103363037
2010-07-14,-0.005681835226778453,1.9755899906158447
2010-07-15,0.0,1.9755899906158447
2010-07-16,0.0,1.9755899906158447
2010-07-19,0.0,1.9755899906158447
